feature,definition,lr_coefficient,lr_odds_ratio_per_sd,rf_importance
current_ratio,current assets / current liabilities,-1.6996782979192828,0.18274230317671147,0.28405268246662363
quick_ratio,(current assets - inventory) / current liabilities,-1.6285238579772428,0.19621900757466035,0.19586540887940393
equity_ratio,equity / total assets,-1.7106743390445567,0.18074386886492919,0.13008556508462185
equity_to_liabilities,book equity / total liabilities,-1.2308792494636946,0.29203569253830286,0.11269438008511817
wc_to_assets,working capital / total assets,-1.5382978580544031,0.2147463192301527,0.07517018106626529
gearing,total liabilities / total assets,1.483171603810231,4.406900482030993,0.07386184649480668
ebit_to_assets,EBIT / total assets,-1.3856140741357368,0.2501701296079562,0.050466470440008133
retained_to_assets,retained earnings / total assets,-1.359232924400865,0.25685773070236206,0.032145678724568645
roa,net profit / total assets,-0.9517537123468007,0.3860633853115171,0.028137675418544297
asset_turnover,sales / total assets,-1.2027352438621757,0.3003714979673123,0.017520111340039324
