statement,entity,year,line_item,label_key,metric,value_rm,source_sheet
Balance sheet,Company,2011,Trade and other receivables,trade and other receivables,receivables,4199.0,balance sheet 2010-2012
Balance sheet,Company,2012,Accumulated loss,accumulated loss,accumulated_loss,-15190.0,balance sheet 2010-2012
Balance sheet,Company,2012,Bank overdraft,bank overdraft,bank_overdraft,1535.0,balance sheet 2010-2012
Balance sheet,Company,2012,Cash and cash equivalents,cash and cash equivalents,cash,1139.0,balance sheet 2010-2012
Balance sheet,Company,2012,Derivatives,current assets: derivatives,,262.0,balance sheet 2010-2012
Balance sheet,Company,2012,Investments in subsidiaries,current assets: investments in subsidiaries,,1305.0,balance sheet 2010-2012
Balance sheet,Company,2012,Deferred revenue on ticket sales,current liabilities: deferred revenue on ticket sales,deferred_revenue_current,3282.0,balance sheet 2010-2012
Balance sheet,Company,2012,Derivatives,current liabilities: derivatives,,11.0,balance sheet 2010-2012
Balance sheet,Company,2012,Provisions,current liabilities: provisions,provisions_current,290.0,balance sheet 2010-2012
Balance sheet,Company,2012,Current portion of long-term loans,current portion of long-term loans,current_portion_loans,471.0,balance sheet 2010-2012
Balance sheet,Company,2012,Intangible assets,intangible assets,intangibles,83.0,balance sheet 2010-2012
Balance sheet,Company,2012,Inventories,inventories,inventories,92.0,balance sheet 2010-2012
Balance sheet,Company,2012,Investments,investments,,9.0,balance sheet 2010-2012
Balance sheet,Company,2012,Deferred revenue on ticket sales,liabilities non-current liabilities: deferred revenue on ticket sales,,983.0,balance sheet 2010-2012
Balance sheet,Company,2012,Provisions,liabilities non-current liabilities: provisions,,1564.0,balance sheet 2010-2012
Balance sheet,Company,2012,Long-term loans,long-term loans,long_term_loans,1287.0,balance sheet 2010-2012
Balance sheet,Company,2012,Investments in subsidiaries,non-current assets: investments in subsidiaries,,830.0,balance sheet 2010-2012
Balance sheet,Company,2012,"Property, aircraft and equipment","property, aircraft and equipment",ppe,6031.0,balance sheet 2010-2012
Balance sheet,Company,2012,Reserves,reserves,reserves,599.0,balance sheet 2010-2012
Balance sheet,Company,2012,Retirement benefit asset,retirement benefit asset,,31.0,balance sheet 2010-2012
