year,Logistic regression,Random forest
2011,0.9978190230005473,0.8943760296401473
2012,0.9999692298269459,0.9872112570996682
2015,0.9999999999999951,0.8723657816702722
2016,0.9999999999173892,0.8740662263173911
2017,1.0,0.8823657816702722
2018,1.0,0.8759061159528745
2019,1.0,0.8779061159528745
