statement,entity,year,dedup_key,original_rm,restated_rm,original_sheet,restated_sheet,difference_rm,pct_change
Income statement,Company,2017,employee_costs,4013.0,4012.0,Income statement 2015-2017,Income statement,-1.0,-0.024919013207077
Income statement,Company,2017,fuel_costs,6738.0,6735.0,Income statement 2015-2017,Income statement,-3.0,-0.04452359750667854
Income statement,Company,2017,loss_before_tax,-6451.0,-6337.0,Income statement 2015-2017,Income statement,114.0,1.7671678809486902
Income statement,Company,2017,loss_for_year,-6451.0,-6337.0,Income statement 2015-2017,Income statement,114.0,1.7671678809486902
Income statement,Company,2017,maintenance_costs,6198.0,6181.0,Income statement 2015-2017,Income statement,-17.0,-0.27428202646014843
Income statement,Company,2017,operating_costs,31278.0,31244.0,Income statement 2015-2017,Income statement,-34.0,-0.10870260246818851
Income statement,Company,2017,operating_loss,-4800.0,-4686.0,Income statement 2015-2017,Income statement,114.0,2.375
Income statement,Company,2017,other_income,1530.0,1860.0,Income statement 2015-2017,Income statement,330.0,21.568627450980394
Income statement,Company,2017,other_operating_costs,3886.0,3877.0,Income statement 2015-2017,Income statement,-9.0,-0.23160061760164694
Income statement,Company,2017,owners of the parent,-6389.0,-6275.0,Income statement 2015-2017,Income statement,114.0,1.7843167944905307
Income statement,Company,2017,total_comprehensive_loss,-6389.0,-6275.0,Income statement 2015-2017,Income statement,114.0,1.7843167944905307
Income statement,Company,2017,total_income,28319.0,28399.0,Income statement 2015-2017,Income statement,80.0,0.28249585084219075
Income statement,Group,2017,airline_revenue,29273.0,29313.0,Income statement 2015-2017,Income statement,40.0,0.13664468964574863
Income statement,Group,2017,catering_costs,1413.0,1409.0,Income statement 2015-2017,Income statement,-4.0,-0.28308563340410475
Income statement,Group,2017,ebitda,-2760.0,-2639.0,Income statement 2015-2017,Income statement,121.0,4.384057971014492
Income statement,Group,2017,employee_costs,6131.0,6130.0,Income statement 2015-2017,Income statement,-1.0,-0.016310552927744252
Income statement,Group,2017,fuel_costs,7368.0,7365.0,Income statement 2015-2017,Income statement,-3.0,-0.04071661237785017
Income statement,Group,2017,loss_before_tax,-5350.0,-5229.0,Income statement 2015-2017,Income statement,121.0,2.2616822429906542
Income statement,Group,2017,loss_for_year,-5569.0,-5439.0,Income statement 2015-2017,Income statement,130.0,2.3343508708924405
Income statement,Group,2017,maintenance_costs,4895.0,4812.0,Income statement 2015-2017,Income statement,-83.0,-1.6956077630234934
Income statement,Group,2017,operating_costs,33502.0,33428.0,Income statement 2015-2017,Income statement,-74.0,-0.22088233538296223
Income statement,Group,2017,operating_loss,-3760.0,-3639.0,Income statement 2015-2017,Income statement,121.0,3.2180851063829783
Income statement,Group,2017,other_income,1469.0,1476.0,Income statement 2015-2017,Income statement,7.0,0.4765146358066712
Income statement,Group,2017,other_operating_costs,4497.0,4514.0,Income statement 2015-2017,Income statement,17.0,0.37802979764287303
Income statement,Group,2017,owners of the parent,-5431.0,-5301.0,Income statement 2015-2017,Income statement,130.0,2.393665991530105
Income statement,Group,2017,taxation,-219.0,-210.0,Income statement 2015-2017,Income statement,9.0,4.10958904109589
Income statement,Group,2017,total_comprehensive_loss,-5431.0,-5301.0,Income statement 2015-2017,Income statement,130.0,2.393665991530105
Income statement,Group,2017,total_income,30742.0,30789.0,Income statement 2015-2017,Income statement,47.0,0.15288530349359183
